cliente_id,idade,sexo,tempo_contrato_meses,servico_internet,tipo_contrato,valor_mensal,total_gasto,num_servicos,dependentes,fatura_online,seguro_dispositivo,suporte_tecnico,churn
C1032,75,Feminino,13,Fibra,Anual,109.8,1501.5,3,Sim,Sim,Sim,Sim,Sim
C1033,39,Feminino,18,DSL,Mensal,28.41,547.48,3,Sim,Não,Sim,Não,Sim
C1034,78,Masculino,32,DSL,Anual,59.31,2077.41,3,Não,Sim,Não,Não,Não
C1035,61,Masculino,39,DSL,Anual,30.02,1116.14,4,Sim,Sim,Sim,Sim,Não
C1036,42,Masculino,46,DSL,Mensal,21.66,1039.42,1,Sim,Sim,Não,Não,Sim
C1037,66,Feminino,29,Fibra,Mensal,86.17,2446.08,3,Não,Não,Não,Não,Não
C1038,44,Masculino,62,Fibra,Mensal,80.24,5151.07,3,Não,Sim,Sim,Não,Não
C1039,76,Feminino,62,Fibra,Mensal,36.3,2239.79,2,Não,Sim,Não,Sim,Não
C1040,59,Masculino,57,Fibra,Bianual,43.38,2716.85,4,Sim,Sim,,Não,Não
C1041,45,Masculino,16,Fibra,Anual,22.37,374.31,2,Sim,Não,Não,Não,Não
C1042,77,Masculino,56,Fibra,Anual,103.49,6319.92,1,Sim,Não,Não,Sim,Não
C1043,33,Masculino,10,DSL,Anual,117.47,1253.4,2,Sim,Sim,Sim,Não,Sim
C1044,32,Feminino,30,DSL,Mensal,33.55,1087.6,2,Não,Sim,,Não,Sim
C1045,79,Feminino,25,Não tem,Bianual,43.15,1146.59,2,Não,Não,Não,Não,Não
C1046,79,Masculino,5,Não tem,Anual,106.84,529.84,4,Sim,Sim,Não,Sim,Sim
C1047,64,Masculino,65,DSL,Anual,112.65,6958.76,1,Não,Sim,Não,Não,Não
C1048,79,Feminino,49,Fibra,Anual,61.96,2957.3,2,Não,Sim,Não,Sim,Não
C1049,68,Feminino,3,DSL,Mensal,25.06,67.97,4,Não,Sim,Sim,Não,Não
C1050,61,Feminino,45,DSL,Anual,23.94,1082.47,1,Não,Sim,Sim,Sim,Não
C1051,72,Feminino,14,Fibra,Mensal,77.39,1084.56,3,Não,Sim,Não,Não,Não
C1052,69,Masculino,30,Fibra,Mensal,59.29,1787.68,2,Sim,Sim,Sim,Não,Sim
C1053,74,Feminino,68,Não tem,Mensal,22.87,1702.6,1,Sim,Não,,Sim,Não
C1054,20,Masculino,18,Fibra,Bianual,78.33,1525.97,2,Não,Sim,Sim,Não,Não
C1055,54,Feminino,62,DSL,Anual,21.13,1221.42,3,Sim,Não,Sim,Não,Não
C1056,68,Feminino,37,DSL,Anual,98.74,3557.58,1,Não,Sim,,Sim,Não
C1057,24,Feminino,25,Fibra,Anual,50.64,1246.75,4,Não,Sim,Não,Não,Não
C1058,38,Feminino,48,Fibra,Mensal,24.03,1121.27,1,Não,Sim,,Não,Não
C1059,26,Feminino,65,Fibra,Bianual,78.84,5430.53,4,Não,Não,Não,Sim,Não
C1060,56,Masculino,53,Fibra,Mensal,59.77,3183.04,1,Não,Não,Sim,Sim,Não
C1061,35,Masculino,15,Fibra,Mensal,117.38,1786.09,4,Não,Sim,Não,Sim,Não
C1062,21,Feminino,49,Não tem,Mensal,74.42,3904.04,3,Não,Não,Sim,Sim,Não
C1063,42,Feminino,68,Fibra,Anual,47.52,3429.07,3,Sim,Sim,Não,Não,Não
C1064,77,Masculino,12,DSL,Anual,90.94,1011.01,3,Não,Não,Não,Sim,Sim
C1065,31,Feminino,59,Fibra,Mensal,47.15,2900.87,1,Sim,Não,Sim,Não,Não
C1066,67,Feminino,37,Não tem,Mensal,110.42,4032.78,3,Não,Não,Não,Não,Não
C1067,75,Masculino,61,Fibra,Anual,57.47,3361.69,2,Não,Sim,Não,Sim,Não
C1068,26,Feminino,43,Fibra,Mensal,74.99,2934.37,3,Não,Sim,Sim,Não,Não
C1069,43,Feminino,70,Não tem,Anual,25.06,1749.73,4,Não,Sim,Não,Não,Sim
C1070,70,Masculino,39,Não tem,Bianual,62.61,2371.19,4,Não,Sim,Não,Não,Sim
C1071,19,Masculino,56,Fibra,Mensal,103.24,5494.12,4,Não,Sim,Sim,Sim,Sim
C1072,37,Masculino,63,Não tem,Mensal,100.56,6581.94,1,Sim,Sim,Sim,Sim,Sim
C1073,45,Feminino,46,Fibra,Anual,42.43,2056.98,2,Não,Sim,Não,Não,Não
C1074,64,Masculino,11,Fibra,Anual,42.61,444.79,3,Não,Sim,Não,Não,Não
C1075,77,Masculino,62,Fibra,Mensal,101.73,5738.91,2,Não,Sim,Não,Não,Não
C1076,24,Masculino,25,Fibra,Bianual,113.04,3023.12,2,Não,Sim,Não,Não,Não
C1077,61,Masculino,71,DSL,Mensal,29.54,1891.78,4,Sim,Não,Não,Sim,Sim
C1078,78,Masculino,52,Fibra,Mensal,65.01,3676.05,4,Não,Sim,Não,Não,Sim
C1079,25,Masculino,4,Fibra,Anual,53.75,220.49,4,Não,Sim,Não,Sim,Sim
C1080,64,Feminino,59,DSL,Anual,107.07,6092.05,1,Não,Não,Não,Sim,Não
C1081,52,Feminino,20,DSL,Mensal,28.35,538.25,2,Sim,Sim,Sim,Não,Não
C1082,31,Masculino,63,Fibra,Anual,41.11,2335.6,2,Não,Sim,Sim,Sim,Sim
C1083,34,Masculino,54,DSL,Mensal,95.25,4871.38,1,Não,Sim,Sim,Não,Não
C1084,53,Masculino,57,Fibra,Mensal,25.13,1328.63,1,Sim,Sim,Não,Não,Sim
C1085,67,Feminino,41,DSL,Mensal,69.25,2902.94,1,Não,Não,Não,Sim,Não
C1086,57,Feminino,3,DSL,Anual,64.21,179.78,2,Não,Sim,Sim,Não,Não
C1087,21,Feminino,6,Não tem,Mensal,53.44,322.48,2,Não,Sim,Sim,Não,Não
C1088,19,Feminino,5,Fibra,Mensal,59.46,302.66,4,Não,Sim,Não,Não,Não
C1089,79,Feminino,5,Fibra,Mensal,72.99,350.21,4,Não,Sim,Sim,Sim,Não
C1090,23,Feminino,54,Fibra,Anual,36.14,1770.09,2,Não,Não,Não,Sim,Sim
C1091,71,Feminino,47,Fibra,Anual,77.2,3292.59,4,Não,Sim,Não,,Não
C1092,59,Feminino,49,Fibra,Anual,100.54,4459.77,1,Sim,Sim,Não,Sim,Não
C1093,21,Feminino,9,Não tem,Mensal,96.02,905.51,3,Sim,Sim,Sim,Sim,Não
C1094,71,Masculino,20,Fibra,Anual,35.39,682.04,4,Não,Sim,Sim,Não,Não
C1095,46,Masculino,61,Fibra,Mensal,34.92,2256.35,2,Não,Sim,Não,Sim,Não
C1096,35,Masculino,35,DSL,Anual,46.82,1616.33,4,Sim,Não,Não,Não,Não
C1097,43,Masculino,50,Fibra,Bianual,56.11,2779.13,4,Não,Não,Não,,Sim
C1098,61,Feminino,62,DSL,Mensal,60.85,3782.42,4,Não,Não,Sim,Não,Não
C1099,51,Feminino,17,Fibra,Anual,87.97,1559.21,3,Sim,Não,Não,Não,Sim
C1100,27,Masculino,3,Fibra,Mensal,25.67,73.52,1,Não,Sim,Não,Sim,Sim
C1101,79,Feminino,32,Fibra,Mensal,23.47,694.2,2,Sim,Sim,Não,,Não
C1102,53,Masculino,13,Fibra,Mensal,59.19,778.1,3,Não,Não,Não,Não,Não
C1103,31,Feminino,68,Não tem,Mensal,89.72,5889.84,2,Não,Não,Sim,Não,Sim
C1104,48,Masculino,14,Fibra,Mensal,39.34,544.43,2,Não,Não,Sim,Não,Não
C1105,65,Feminino,11,DSL,Anual,84.15,952.85,2,Sim,Sim,Não,Sim,Não
C1106,32,Feminino,56,Fibra,Mensal,45.98,2571.85,3,Não,Sim,Não,Sim,Sim
C1107,25,Masculino,67,Fibra,Anual,108.61,7451.92,1,Não,Não,Sim,Não,Não
C1108,31,Feminino,29,Não tem,Mensal,109.57,3205.62,2,Não,Não,Sim,Não,Não
C1109,40,Masculino,9,Fibra,Mensal,49.73,469.04,1,Sim,Não,Não,Não,Não
C1110,77,Masculino,67,DSL,Anual,43.0,2999.66,1,Não,Sim,Sim,Não,Não
C1111,74,Masculino,25,Não tem,Mensal,61.13,1538.7,4,Não,Sim,Sim,Não,Não
C1112,79,Masculino,42,DSL,Mensal,44.05,1916.3,3,Não,Sim,Não,Não,Não
C1113,57,Feminino,9,Não tem,Anual,87.24,843.82,3,Não,Não,Não,Sim,Não
C1114,38,Feminino,40,Fibra,Mensal,102.61,4048.8,4,Não,Sim,Não,Não,Não
C1115,33,Feminino,25,Fibra,Mensal,87.31,2144.67,4,Não,Sim,Sim,,Sim
C1116,62,Masculino,5,Fibra,Mensal,102.44,539.27,1,Sim,Não,Não,,Não
C1117,35,Feminino,11,DSL,Bianual,59.7,667.54,2,Não,Sim,Não,Não,Não
C1118,64,Masculino,59,Não tem,Anual,35.63,1921.81,3,Sim,Não,Não,Não,Sim
C1119,70,Feminino,38,Fibra,Anual,93.8,3843.93,2,Não,Sim,,Não,Não
C1120,41,Feminino,5,DSL,Anual,56.05,253.95,2,Sim,Não,Sim,Não,Não
C1121,43,Feminino,48,Fibra,Mensal,87.13,4390.01,4,Não,Sim,,Não,Sim
C1122,42,Masculino,18,DSL,Mensal,47.06,890.92,2,Sim,Não,Sim,Sim,Não
C1123,77,Feminino,70,Fibra,Anual,28.12,2146.78,1,Não,Não,,Não,Não
C1124,77,Feminino,37,Não tem,Mensal,119.26,4019.13,4,Não,Sim,Não,Não,Não
C1125,77,Masculino,60,DSL,Mensal,35.62,2178.6,2,Sim,Sim,Não,Não,Não
C1126,62,Feminino,48,Fibra,Mensal,118.84,5622.0,4,Sim,Sim,Não,Sim,Não
C1127,58,Masculino,28,Fibra,Mensal,117.73,3184.78,1,Sim,Sim,Não,Sim,Não
C1128,46,Feminino,69,Fibra,Bianual,99.38,6295.36,1,Não,Não,,Não,Não
C1129,32,Masculino,40,Fibra,Mensal,85.94,3480.68,2,Não,Sim,Não,Não,Sim
C1130,62,Masculino,45,Fibra,Mensal,77.78,3485.43,4,Não,Sim,Sim,Não,Não
C1131,18,Feminino,62,Não tem,Mensal,106.61,6087.06,2,Sim,Sim,Sim,Não,Sim
C1132,42,Masculino,58,DSL,Bianual,48.94,2902.38,2,Não,Não,Sim,Não,Não
C1133,24,Masculino,67,DSL,Mensal,66.77,4686.49,4,Não,Não,Não,Não,Não
C1134,26,Masculino,56,Fibra,Mensal,81.94,4833.93,2,Não,Sim,Não,Não,Não
C1135,41,Masculino,40,Não tem,Anual,61.12,2643.01,1,Não,Sim,Sim,Sim,Não
C1136,18,Masculino,40,DSL,Anual,62.75,2464.55,4,Sim,Sim,Sim,Não,Sim
C1137,61,Masculino,33,Fibra,Mensal,53.03,1908.56,4,Sim,Sim,Não,Não,Sim
C1138,25,Feminino,6,DSL,Mensal,76.42,492.03,4,Sim,Sim,Sim,Sim,Sim
C1139,41,Masculino,19,DSL,Mensal,105.06,1914.9,4,Sim,Sim,Não,Sim,Não
C1140,28,Masculino,40,Fibra,Mensal,40.15,1496.56,2,Sim,Sim,Não,Sim,Não
C1141,68,Feminino,59,Fibra,Mensal,113.44,6606.47,2,Sim,Sim,Não,Não,Sim
C1142,34,Feminino,59,Fibra,Mensal,88.91,5142.77,1,Não,Sim,Não,Sim,Não
C1143,25,Feminino,48,Fibra,Mensal,102.33,4986.22,3,Não,Sim,Não,,Não
C1144,52,Feminino,41,Não tem,Mensal,75.62,3152.13,3,Não,Sim,Não,Não,Não
C1145,52,Feminino,13,Não tem,Anual,97.95,1337.01,1,Não,Não,Não,Não,Não
C1146,50,Feminino,45,DSL,Bianual,21.62,974.82,3,Não,Não,Não,Não,Não
C1147,76,Feminino,53,Fibra,Anual,101.84,4970.92,1,Sim,Sim,Sim,Sim,Sim
C1148,22,Masculino,42,Fibra,Mensal,24.01,1080.68,2,Não,Sim,Não,Não,Não
C1149,59,Masculino,63,DSL,Mensal,108.99,6605.12,4,Sim,Não,Não,Não,Não
C1150,56,Feminino,27,DSL,Bianual,119.2,3521.76,4,Não,Não,Não,Não,Não
C1151,75,Masculino,38,Fibra,Mensal,49.41,1734.08,2,Não,Sim,Não,Sim,Não
C1152,58,Masculino,60,DSL,Mensal,41.03,2687.42,4,Não,Sim,Não,Não,Sim
C1153,45,Masculino,7,Não tem,Mensal,96.54,620.5,4,Sim,Sim,Sim,Não,Não
C1154,24,Feminino,5,Fibra,Anual,45.3,214.32,3,Sim,Sim,Não,Não,Não
C1155,26,Feminino,45,Fibra,Anual,106.56,4360.35,2,Não,Sim,Não,Não,Não
C1156,25,Masculino,58,DSL,Mensal,30.28,1828.29,3,Sim,Sim,Não,Não,Não
C1157,29,Feminino,31,Fibra,Mensal,32.6,1081.4,3,Não,Sim,Não,Não,Não
C1158,51,Masculino,23,Fibra,Bianual,117.92,2676.4,4,Não,Sim,Sim,Não,Não
C1159,50,Masculino,42,Fibra,Mensal,87.38,3984.49,4,Não,Sim,Não,Não,Não
C1160,65,Masculino,10,Fibra,Anual,104.69,1065.81,2,Não,Sim,Sim,Sim,Não
C1161,72,Masculino,32,DSL,Anual,52.43,1721.38,4,Não,Sim,Sim,Sim,Não
C1162,40,Feminino,53,DSL,Anual,87.65,4966.38,4,Sim,Sim,Não,Sim,Sim
C1163,79,Feminino,30,Fibra,Mensal,79.42,2285.77,2,Não,Sim,,Sim,Sim
C1164,41,Feminino,39,Não tem,Mensal,80.32,3041.18,4,Não,Não,Não,Sim,Sim
C1165,54,Masculino,31,Não tem,Mensal,88.25,2957.87,3,Não,Sim,Sim,Não,Não
C1166,52,Feminino,2,Não tem,Anual,77.54,167.52,2,Sim,Não,Sim,Sim,Não
C1167,61,Masculino,12,Fibra,Bianual,62.91,826.86,4,Não,Não,Não,Não,Não
C1168,57,Feminino,39,Fibra,Mensal,47.59,2005.17,1,Não,Sim,Não,Sim,Não
C1169,39,Masculino,66,Não tem,Mensal,96.86,5916.34,2,Não,Sim,,Sim,Sim
C1170,44,Masculino,13,DSL,Bianual,42.63,590.07,2,Não,Sim,Não,Sim,Sim
C1171,52,Masculino,46,Fibra,Anual,89.24,4031.02,1,Sim,Não,Não,Sim,Sim
C1172,18,Feminino,27,Fibra,Anual,43.33,1284.75,4,Não,Não,Sim,Não,Não
C1173,52,Feminino,17,Fibra,Mensal,82.53,1395.23,4,Não,Não,Sim,Não,Sim
C1174,54,Feminino,60,Não tem,Mensal,94.71,5743.79,2,Não,Sim,Sim,Sim,Sim
C1175,64,Feminino,64,DSL,Anual,41.87,2695.64,2,Não,Sim,Não,Não,Não
C1176,31,Masculino,35,Fibra,Anual,25.99,877.22,4,Sim,Sim,Não,Não,Não
C1177,20,Feminino,70,Fibra,Mensal,33.1,2120.07,4,Não,Sim,Não,Não,Sim
C1178,18,Feminino,30,DSL,Mensal,80.6,2609.34,3,Não,Sim,Não,Não,Não
C1179,22,Masculino,71,Não tem,Mensal,104.94,7901.77,2,Não,Sim,Não,Não,Não
C1180,43,Masculino,63,Fibra,Mensal,24.5,1432.22,2,Não,Não,Sim,Não,Não
C1181,72,Masculino,28,DSL,Mensal,93.42,2760.55,1,Não,Sim,Sim,Não,Não
C1182,31,Feminino,60,Não tem,Bianual,54.13,3329.54,3,Não,Sim,Não,Sim,Sim
C1183,56,Masculino,37,Fibra,Mensal,67.85,2464.83,4,Sim,Sim,Não,Não,Não
C1184,44,Masculino,22,DSL,Anual,112.89,2361.4,3,Não,Não,Não,Não,Não
C1185,26,Masculino,68,Fibra,Mensal,53.2,3877.87,4,Não,Não,Sim,Não,Sim
C1186,32,Feminino,20,DSL,Anual,66.53,1383.87,4,Não,Sim,Não,Não,Não
C1187,32,Masculino,68,DSL,Bianual,21.37,1467.03,3,Não,Sim,Sim,Não,Não
C1188,43,Feminino,64,DSL,Mensal,28.16,1841.73,2,Não,Sim,Sim,Sim,Não
C1189,59,Feminino,17,DSL,Mensal,45.86,715.86,4,Não,Não,Não,Não,Sim
C1190,77,Masculino,12,Fibra,Mensal,22.79,272.05,3,Não,Sim,Sim,Não,Não
C1191,30,Masculino,22,Não tem,Mensal,83.14,1717.03,1,Sim,Sim,Não,Não,Sim
C1192,68,Feminino,17,DSL,Anual,62.64,1002.77,3,Não,Sim,Sim,Não,Não
C1193,49,Masculino,10,Fibra,Bianual,74.81,772.23,1,Sim,Sim,Não,Não,Sim
C1194,56,Masculino,65,DSL,Mensal,37.46,2635.17,4,Não,Não,Não,Sim,Sim
C1195,66,Feminino,22,DSL,Mensal,49.59,1069.98,3,Sim,Sim,Sim,Não,Não
C1196,69,Feminino,50,Fibra,Mensal,86.38,4066.55,3,Não,Sim,Não,Não,Não
C1197,78,Masculino,14,Não tem,Anual,116.53,1679.95,1,Não,Sim,Sim,Não,Não
C1198,49,Feminino,64,Não tem,Mensal,25.04,1721.53,3,Não,Sim,Não,Sim,Não
C1199,21,Masculino,47,Fibra,Mensal,109.04,5379.4,3,Não,Não,Sim,Não,Sim
C1200,47,Masculino,29,Não tem,Anual,77.69,2419.17,4,Não,Sim,Sim,Não,Não
C1201,54,Masculino,36,Fibra,Anual,76.39,2770.15,3,Sim,Não,Sim,Não,Não
C1202,40,Feminino,52,Fibra,Mensal,70.03,3825.0,2,Não,Não,Sim,,Sim
C1203,56,Masculino,7,Fibra,Anual,26.94,175.0,1,Não,Sim,Não,Não,Não
C1204,62,Masculino,29,Não tem,Mensal,28.99,815.2,3,Sim,Sim,Sim,Sim,Sim
C1205,32,Masculino,11,DSL,Mensal,80.09,861.53,1,Não,Sim,Sim,Sim,Não
C1206,60,Feminino,33,Fibra,Anual,54.1,1789.33,1,Não,Não,Não,Não,Não
C1207,46,Feminino,6,Fibra,Anual,111.73,727.91,1,Não,Sim,Sim,Não,Não
C1208,53,Feminino,32,DSL,Mensal,60.66,2086.43,3,Sim,Sim,Não,Sim,Não
C1209,30,Feminino,51,Fibra,Mensal,34.33,1622.85,3,Não,Sim,Não,Sim,Não
C1210,49,Feminino,58,Não tem,Mensal,91.47,4958.07,1,Sim,Não,Não,Sim,Sim
C1211,24,Masculino,26,Não tem,Mensal,49.34,1246.32,2,Sim,Sim,Não,Não,Não
C1212,76,Feminino,46,DSL,Mensal,72.55,3197.63,1,Não,Sim,Não,Sim,Sim
C1213,68,Feminino,29,Não tem,Mensal,89.78,2663.38,2,Não,Sim,Sim,,Não
C1214,39,Feminino,4,Fibra,Mensal,110.03,475.57,1,Não,Sim,Não,Não,Não
C1215,45,Masculino,13,Não tem,Anual,99.22,1409.12,4,Sim,Não,Não,Sim,Não
C1216,19,Feminino,39,DSL,Anual,87.64,3522.96,1,Não,Sim,Não,Não,Não
C1217,59,Feminino,15,DSL,Anual,87.96,1408.63,1,Não,Não,Não,Sim,Não
C1218,62,Masculino,29,Fibra,Mensal,114.59,3339.86,3,Não,Sim,Não,Não,Não
C1219,79,Feminino,29,Não tem,Bianual,49.58,1353.95,2,Não,Sim,Não,Sim,Sim
C1220,74,Masculino,32,Fibra,Anual,20.11,646.7,4,Sim,Sim,Não,Não,Não
C1221,70,Masculino,2,Fibra,Anual,47.2,95.44,2,Não,Sim,Não,Não,Sim
C1222,23,Masculino,47,Fibra,Anual,41.79,2059.37,4,Não,Sim,Não,Sim,Não
C1223,45,Masculino,22,DSL,Bianual,86.18,1789.74,1,Sim,Sim,Sim,Sim,Sim
C1224,45,Masculino,27,DSL,Mensal,83.37,2191.7,3,Sim,Sim,Não,Não,Não
C1225,61,Feminino,67,DSL,Mensal,79.35,5171.87,3,Sim,Sim,Não,Sim,Sim
C1226,61,Masculino,56,Não tem,Anual,21.62,1321.97,2,Sim,Sim,Sim,Não,Sim
C1227,37,Masculino,21,Fibra,Anual,92.88,1928.61,3,Não,Não,Sim,Não,Não
C1228,47,Feminino,47,DSL,Anual,52.35,2585.98,2,Não,Sim,Não,Não,Sim
C1229,79,Masculino,59,Fibra,Mensal,86.51,5360.12,2,Sim,Sim,Sim,Não,Não
C1230,28,Feminino,6,Não tem,Mensal,75.66,432.67,4,Sim,Sim,Sim,Não,Sim
C1231,75,Feminino,19,Não tem,Mensal,54.27,1045.95,2,Não,Não,Não,Não,Não
C1232,72,Feminino,57,DSL,Bianual,33.46,2057.62,4,Não,Não,Sim,Não,Não
C1233,45,Masculino,69,DSL,Mensal,29.44,2021.28,3,Não,Sim,Não,Sim,Não
C1234,42,Masculino,3,Fibra,Mensal,103.15,337.0,2,Não,Não,Sim,Sim,Sim
C1235,56,Masculino,1,Fibra,Mensal,111.84,105.45,2,Não,Sim,Sim,Não,Não
C1236,79,Feminino,58,Não tem,Mensal,84.98,4509.06,1,Sim,Sim,Não,Não,Não
C1237,50,Masculino,38,Fibra,Anual,30.34,1243.18,2,Sim,Não,Não,Não,Não
C1238,18,Masculino,15,Fibra,Anual,60.2,965.79,2,Não,Não,Sim,Sim,Não
C1239,74,Masculino,34,Fibra,Anual,92.89,3469.41,1,Não,Sim,Sim,Não,Não
C1240,44,Feminino,61,Não tem,Mensal,97.98,6191.22,1,Não,Não,Não,Sim,Sim
C1241,79,Feminino,35,Fibra,Anual,31.82,1210.97,3,Não,Sim,Sim,Sim,Sim
C1242,74,Masculino,64,Fibra,Mensal,20.0,1363.7,2,Não,Não,Sim,Não,Sim
C1243,69,Masculino,25,DSL,Anual,91.21,2437.33,3,Sim,Sim,Sim,Sim,Sim
C1244,30,Masculino,24,Não tem,Mensal,55.66,1354.31,3,Não,Sim,Não,Não,Sim
C1245,58,Masculino,12,Fibra,Mensal,45.45,532.57,1,Sim,Sim,Não,Sim,Não
C1246,20,Feminino,18,Fibra,Anual,21.29,416.53,4,Sim,Sim,Não,Não,Não
C1247,56,Feminino,15,Fibra,Bianual,74.03,1095.37,3,Não,Sim,Não,Não,Não
C1248,23,Feminino,27,Fibra,Mensal,105.12,2860.28,4,Não,Sim,Não,Sim,Sim
C1249,25,Feminino,60,Fibra,Anual,115.76,6870.75,2,Não,Sim,Não,,Não
C1250,44,Masculino,46,DSL,Mensal,76.57,3567.88,1,Não,Sim,Não,Não,Não
C1251,26,Masculino,17,DSL,Mensal,71.45,1207.48,2,Sim,Sim,Sim,Não,Não
C1252,79,Masculino,53,DSL,Mensal,28.51,1374.42,2,Sim,Sim,Não,Não,Sim
C1253,54,Feminino,8,Fibra,Mensal,74.89,644.9,1,Não,Sim,Não,,Sim
C1254,50,Masculino,27,Não tem,Mensal,58.0,1548.58,2,Não,Não,Não,Não,Sim
C1255,68,Feminino,46,Fibra,Mensal,80.71,3778.7,1,Não,Não,Sim,Não,Não
C1256,59,Feminino,50,Não tem,Mensal,58.87,2731.09,4,Não,Não,Sim,Não,Não
C1257,61,Masculino,71,DSL,Bianual,44.03,2815.64,2,Não,Sim,Não,Não,Sim
C1258,41,Masculino,3,Fibra,Mensal,29.5,83.99,1,Não,Não,Não,Sim,Sim
C1259,32,Masculino,64,DSL,Anual,51.49,3430.2,3,Sim,Sim,Não,Sim,Não
C1260,76,Feminino,44,Fibra,Mensal,29.66,1200.43,2,Não,Sim,Sim,Não,Não
C1261,71,Masculino,53,DSL,Anual,37.69,2160.93,4,Não,Sim,Não,Não,Não
C1262,49,Feminino,24,Fibra,Mensal,118.73,2687.11,1,Sim,Não,Não,Sim,Não
C1263,49,Masculino,60,Fibra,Mensal,64.41,3636.27,2,Não,Sim,Não,Não,Não
C1264,41,Feminino,3,Não tem,Mensal,73.19,205.58,2,Não,Sim,Não,Sim,Sim
C1265,58,Feminino,20,Fibra,Mensal,107.36,1938.48,2,Não,Sim,Não,Sim,Não
C1266,69,Masculino,46,Não tem,Mensal,119.56,5798.73,4,Sim,Não,Não,Sim,Não
C1267,66,Feminino,15,Fibra,Anual,78.27,1262.11,1,Não,Sim,Não,Sim,Não
C1268,79,Feminino,25,DSL,Anual,101.25,2589.04,3,Sim,Sim,Não,Não,Sim
C1269,66,Masculino,71,DSL,Anual,52.69,3507.7,3,Não,Sim,Sim,Não,Não
C1270,75,Feminino,17,DSL,Anual,50.57,822.77,3,Sim,Sim,Sim,Sim,Não
C1271,69,Masculino,9,Fibra,Mensal,60.27,539.82,1,Sim,Sim,Não,Sim,Não
C1272,29,Feminino,38,Fibra,Mensal,87.25,3616.78,3,Não,Sim,Não,Não,Sim
C1273,79,Masculino,48,Fibra,Mensal,88.22,4020.59,4,Não,Não,Não,Sim,Não
C1274,56,Masculino,60,Fibra,Mensal,51.52,3234.41,1,Sim,Sim,Não,Não,Não
C1275,19,Feminino,63,DSL,Mensal,33.32,2073.74,2,Sim,Sim,Sim,Sim,Não
